# Directed graph: mygraph.txt 
# Save as tab-separated list of edges
# Nodes: 1024 Edges: 5120
# FromNodeId	ToNodeId
1	3
1	4
1	6
1	15
1	38
2	1
2	5
2	6
2	7
2	13
3	2
3	4
3	5
3	8
3	10
4	2
4	6
4	9
4	12
4	13
5	2
5	3
5	4
5	6
5	12
6	1
6	2
6	3
6	5
6	9
7	1
7	2
7	5
7	6
7	18
8	1
8	4
8	9
8	10
8	15
9	1
9	5
9	8
9	19
9	43
10	1
10	2
10	5
10	6
10	12
11	1
11	3
11	4
11	8
11	20
12	1
12	2
12	3
12	6
12	18
13	1
13	6
13	7
13	8
13	10
14	2
14	3
14	10
14	11
14	13
15	1
15	8
15	12
15	21
15	32
16	1
16	4
16	8
16	10
16	12
17	1
17	5
17	6
17	8
17	9
18	1
18	5
18	11
18	14
18	15
19	3
19	5
19	9
19	10
19	13
20	8
20	9
20	10
20	11
20	26
21	1
21	4
21	5
21	6
21	9
22	1
22	2
22	9
22	12
22	20
23	2
23	3
23	4
23	8
23	10
24	2
24	3
24	4
24	12
24	31
25	1
25	3
25	6
25	8
25	12
26	1
26	3
26	4
26	10
26	25
27	2
27	5
27	8
27	12
27	17
28	1
28	8
28	13
28	16
28	17
29	1
29	4
29	6
29	14
29	26
30	1
30	7
30	9
30	11
30	18
31	2
31	3
31	6
31	10
31	11
32	1
32	5
32	12
32	17
32	22
33	2
33	3
33	4
33	12
33	15
34	1
34	2
34	6
34	9
34	14
35	1
35	2
35	5
35	9
35	12
36	1
36	2
36	11
36	12
36	14
37	4
37	5
37	11
37	14
37	15
38	1
38	6
38	10
38	15
38	23
39	5
39	7
39	10
39	14
39	18
40	1
40	3
40	4
40	7
40	8
41	1
41	3
41	5
41	6
41	19
42	3
42	4
42	5
42	7
42	8
43	1
43	7
43	10
43	12
43	16
44	3
44	6
44	13
44	14
44	31
45	7
45	8
45	9
45	13
45	14
46	2
46	3
46	5
46	6
46	9
47	1
47	5
47	10
47	11
47	17
48	1
48	2
48	7
48	8
48	23
49	1
49	2
49	4
49	22
49	37
50	1
50	2
50	11
50	18
50	27
51	3
51	10
51	11
51	16
51	50
52	1
52	4
52	6
52	7
52	14
53	1
53	3
53	4
53	7
53	13
54	1
54	4
54	5
54	11
54	12
55	1
55	3
55	9
55	18
55	27
56	2
56	3
56	5
56	12
56	14
57	8
57	9
57	10
57	13
57	15
58	1
58	2
58	4
58	10
58	33
59	2
59	5
59	13
59	15
59	28
60	1
60	2
60	6
60	8
60	15
61	2
61	3
61	5
61	6
61	9
62	1
62	3
62	4
62	9
62	16
63	1
63	2
63	4
63	5
63	11
64	3
64	4
64	5
64	9
64	11
65	4
65	5
65	6
65	7
65	8
66	1
66	4
66	6
66	8
66	10
67	1
67	3
67	4
67	8
67	11
68	4
68	9
68	12
68	25
68	26
69	1
69	3
69	4
69	7
69	15
70	1
70	10
70	12
70	13
70	17
71	2
71	3
71	4
71	5
71	17
72	3
72	4
72	6
72	7
72	24
73	1
73	8
73	9
73	13
73	19
74	1
74	2
74	4
74	5
74	53
75	1
75	5
75	6
75	7
75	19
76	1
76	3
76	6
76	7
76	13
77	2
77	3
77	5
77	8
77	22
78	1
78	2
78	3
78	8
78	15
79	1
79	4
79	9
79	10
79	28
80	4
80	7
80	8
80	18
80	40
81	2
81	4
81	9
81	10
81	17
82	1
82	6
82	7
82	8
82	17
83	1
83	3
83	9
83	24
83	38
84	1
84	6
84	11
84	16
84	27
85	1
85	2
85	3
85	4
85	20
86	2
86	3
86	4
86	6
86	7
87	1
87	5
87	8
87	15
87	40
88	2
88	6
88	11
88	13
88	15
89	1
89	2
89	5
89	41
89	42
90	2
90	4
90	5
90	11
90	17
91	2
91	4
91	5
91	6
91	7
92	1
92	2
92	3
92	4
92	5
93	1
93	3
93	18
93	20
93	22
94	3
94	4
94	6
94	8
94	11
95	1
95	6
95	15
95	26
95	30
96	1
96	2
96	4
96	13
96	42
97	5
97	6
97	10
97	13
97	21
98	2
98	4
98	7
98	14
98	18
99	1
99	3
99	4
99	5
99	8
100	4
100	7
100	10
100	11
100	14
101	1
101	5
101	6
101	9
101	11
102	3
102	5
102	8
102	9
102	12
103	1
103	2
103	5
103	7
103	19
104	2
104	3
104	4
104	7
104	14
105	1
105	2
105	5
105	8
105	19
106	4
106	5
106	8
106	18
106	48
107	3
107	4
107	6
107	7
107	11
108	2
108	3
108	7
108	10
108	39
109	1
109	2
109	8
109	9
109	19
110	4
110	5
110	6
110	8
110	15
111	2
111	9
111	13
111	19
111	22
112	2
112	4
112	11
112	23
112	29
113	3
113	5
113	6
113	7
113	20
114	3
114	4
114	6
114	9
114	16
115	1
115	5
115	6
115	7
115	20
116	5
116	12
116	14
116	17
116	19
117	4
117	5
117	7
117	9
117	14
118	1
118	6
118	8
118	9
118	13
119	1
119	3
119	4
119	13
119	20
120	11
120	12
120	16
120	17
120	66
121	3
121	4
121	5
121	10
121	11
122	2
122	7
122	9
122	10
122	13
123	1
123	3
123	4
123	13
123	31
124	1
124	5
124	9
124	13
124	17
125	1
125	4
125	9
125	12
125	34
126	1
126	2
126	4
126	6
126	23
127	3
127	7
127	8
127	13
127	52
128	1
128	7
128	8
128	27
128	33
129	3
129	5
129	11
129	13
129	14
130	1
130	3
130	11
130	12
130	20
131	1
131	2
131	10
131	14
131	17
132	1
132	4
132	6
132	8
132	12
133	1
133	2
133	3
133	4
133	6
134	1
134	3
134	6
134	7
134	21
135	2
135	6
135	7
135	8
135	11
136	3
136	10
136	13
136	16
136	22
137	2
137	3
137	5
137	12
137	23
138	1
138	4
138	9
138	10
138	15
139	1
139	9
139	11
139	15
139	18
140	1
140	9
140	14
140	15
140	19
141	1
141	2
141	5
141	7
141	37
142	3
142	5
142	6
142	7
142	34
143	2
143	8
143	11
143	14
143	17
144	1
144	2
144	6
144	9
144	10
145	2
145	3
145	6
145	10
145	14
146	1
146	4
146	6
146	13
146	24
147	3
147	4
147	6
147	12
147	23
148	1
148	3
148	6
148	7
148	37
149	1
